Ticker,Sector,Close,Change_1D_pct,Volume_Today,Avg_Vol_20D,Vol_Ratio
ENDURANCE,Automobile and Auto Components,2623.3,1.5,76431,123551,0.62
ENGINERSIN,Construction,253.15,4.1,10765408,4512449,2.39
ERIS,Healthcare,1430.6,1.38,51637,67410,0.77
ESCORTS,Capital Goods,2809.7,-0.75,103277,153808,0.67
ETERNAL,Consumer Services,258.55,0.06,17924860,27912293,0.64
EXIDEIND,Automobile and Auto Components,384.85,-0.91,1266359,3798017,0.33
NYKAA,Consumer Services,298.1,6.1,36121467,9347892,3.86
FEDERALBNK,Financial Services,320.45,-0.7,3885439,20028278,0.19
FACT,Chemicals,953.45,-1.46,385458,1009486,0.38
FINCABLES,Capital Goods,1158.6,3.45,988404,711190,1.39
FSL,Services,240.0,-1.58,1008511,2046454,0.49
FIVESTAR,Financial Services,518.85,6.86,6459556,1761797,3.67
FORCEMOT,Automobile and Auto Components,18662.0,-0.16,54199,111984,0.48
FORTIS,Healthcare,958.75,0.96,1206733,1508376,0.8
GAIL,Oil Gas & Consumable Fuels,176.44,0.81,6438829,11360427,0.57
GVT&D,Capital Goods,5250.0,1.89,660327,890058,0.74
GMRAIRPORT,Services,110.55,1.13,16083504,24305986,0.66
GABRIEL,Automobile and Auto Components,1141.9,1.66,391208,410957,0.95
GALLANTT,Capital Goods,738.8,3.59,300038,167433,1.79
GRSE,Capital Goods,2825.3,0.24,1744576,816479,2.14
GICRE,Financial Services,357.1,1.05,5302825,1724515,3.07
GILLETTE,Fast Moving Consumer Goods,7840.0,-0.2,14921,34850,0.43
GLAND,Healthcare,2202.2,0.21,1007445,603106,1.67
GLAXO,Healthcare,2266.2,3.02,225701,144146,1.57
GLENMARK,Healthcare,2154.0,0.81,320780,745221,0.43
MEDANTA,Healthcare,1258.2,0.3,396379,225140,1.76
GODIGIT,Financial Services,301.25,2.08,386821,1090333,0.35
GPIL,Capital Goods,270.55,-0.57,3028670,1757346,1.72
GODFRYPHLP,Fast Moving Consumer Goods,2271.2,0.99,364815,327943,1.11
GODREJCP,Fast Moving Consumer Goods,1009.2,-1.06,1196457,1416896,0.84
GODREJIND,Diversified,1111.2,5.61,510537,137719,3.71
GODREJPROP,Realty,1810.2,1.22,493092,588940,0.84
GRANULES,Healthcare,782.1,5.49,1613246,1381555,1.17
GRAPHITE,Capital Goods,649.05,-1.99,484103,856351,0.57
GRASIM,Construction Materials,3145.1,-0.17,667100,682094,0.98
GRAVITA,Metals & Mining,1726.4,3.45,287693,172228,1.67
GESHIP,Services,1412.1,0.55,393573,830822,0.47
FLUOROCHEM,Chemicals,3837.5,4.4,382614,104581,3.66
GMDCLTD,Metals & Mining,619.05,-0.24,1113318,2130355,0.52
