Ticker,Sector,PE_Ratio,EPS_TTM,Market_Cap_Cr,PB_Ratio,ROE_pct,Debt_Equity,Div_Yield,Revenue_Growth,Current_Ratio
CONCOR,Services,27.772005,16.36,34604.0,2.6648877,9.76,7.39,301.0,-1.1,3.921
COROMANDEL,Chemicals,26.579224,66.33,51959.0,4.1357408,15.59,11.469,23.0,20.4,1.514
CRAFTSMAN,Automobile and Auto Components,56.96014,161.06,21885.0,6.7051744,12.55,111.011,13.0,27.3,1.182
CREDITACC,Financial Services,152.00478,8.38,20391.0,2.6015298,10.51,302.873,0.0,125.9,286.649
CROMPTON,Consumer Durables,,-3.76,17601.0,5.847229,-6.34,5.797,110.0,10.8,1.426
CUMMINSIND,Capital Goods,67.77726,85.39,160429.0,20.320778,29.45,0.431,116.0,21.9,3.324
CYIENT,Information Technology,23.168484,38.52,9856.0,1.7353591,7.77,6.995,353.0,0.9,2.929
DCMSHRIRAM,Diversified,18.66618,54.73,15819.0,2.0667694,11.62,37.802,138.0,11.0,1.495
DLF,Realty,32.369747,17.85,143023.0,3.1481905,10.03,0.673,103.0,-42.0,1.542
DOMS,Fast Moving Consumer Goods,56.276848,37.71,12879.0,10.557631,20.09,10.849,15.0,18.7,2.175
DABUR,Fast Moving Consumer Goods,39.835835,10.66,75331.0,6.589851,16.24,10.907,197.0,7.3,1.696
DALBHARAT,Construction Materials,28.36265,60.83,32389.0,1.8232775,6.5,40.865,58.0,3.8,1.547
DATAPATTNS,Capital Goods,86.83513,48.28,23471.0,13.524482,16.73,0.304,20.0,-13.0,10.454
DEEPAKFERT,Chemicals,24.329508,58.39,17951.0,2.752594,10.77,75.969,71.0,12.9,1.363
DEEPAKNTR,Chemicals,41.47168,40.43,22869.0,3.9209495,9.75,27.903,44.0,-2.7,2.4
DELHIVERY,Services,218.08458,2.01,32820.0,3.377405,1.6,15.098,0.0,30.0,2.588
DEVYANI,Consumer Services,,-0.31,13998.0,9.243608,-2.59,203.327,0.0,19.7,0.51
DIVISLAB,Healthcare,68.237305,96.67,175116.0,11.354638,16.19,0.042,46.0,9.5,5.431
DIXON,Consumer Durables,42.634995,269.45,69716.0,12.796792,37.13,18.457,7.0,2.1,1.064
LALPATHLAB,Healthcare,49.23368,31.71,26069.0,10.397741,21.48,7.831,89.0,16.6,3.476
DRREDDY,Healthcare,24.649942,51.42,105513.0,2.7991006,11.83,20.328,63.0,-11.6,1.802
DUMMYVEDL1,Metals & Mining,,,,,,,0.0,,
DUMMYVEDL2,Power,,,,,,,0.0,,
DUMMYVEDL3,Oil Gas & Consumable Fuels,,,,,,,0.0,,
DUMMYVEDL4,Metals & Mining,,,,,,,0.0,,
EIDPARRY,Fast Moving Consumer Goods,11.25543,66.75,13368.0,1.54509,9.91,23.647,0.0,15.7,1.419
EIHOTEL,Consumer Services,29.053785,10.04,18242.0,3.8748674,12.95,4.666,52.0,1.5,2.686
EICHERMOT,Automobile and Auto Components,35.360817,201.07,195168.0,7.770237,23.77,2.048,98.0,19.1,1.902
ELECON,Capital Goods,33.28074,15.21,11359.0,4.878425,15.85,11.824,40.0,-6.5,2.936
ELGIEQUIP,Capital Goods,45.779987,13.59,19613.0,8.780733,21.0,23.885,45.0,12.1,2.082
EMAMILTD,Fast Moving Consumer Goods,21.974129,17.78,17054.0,5.8328233,27.61,5.541,307.0,-3.9,2.308
EMCURE,Healthcare,35.754967,48.81,33099.0,6.683415,19.57,30.567,18.0,16.7,1.434
EMMVEE,Capital Goods,19.187536,17.17,22809.0,6.1702847,51.12,9.745,0.0,62.3,2.061
ENDURANCE,Automobile and Auto Components,37.980213,67.73,36184.0,5.290348,15.16,19.393,44.0,37.9,1.553
ENGINERSIN,Construction,19.338486,12.29,13358.0,4.9226403,,0.534,132.0,-8.3,
ERIS,Healthcare,30.203226,45.27,18946.0,6.0275702,18.07,60.545,103.0,7.1,0.741
